"year","zone","rooms","measure","value"
"2010","S01001792","10+","Ratio",0
"2013","S01001792","10+","Ratio",0
"2006","S01001792","10+","Ratio",0
"2009","S01001792","1-3","Ratio","25.77"
"2013","S01001792","1-3","Ratio","25.09"
"2012","S01001792","1-3","Ratio","25.09"
"2007","S01001792","1-3","Ratio","25.77"
"2006","S01001792","1-3","Ratio","25.77"
"2011","S01001792","1-3","Ratio","25.77"
"2010","S01001792","1-3","Ratio","25.77"
"2008","S01001792","1-3","Ratio","25.77"
"2007","S01001792","4-6","Ratio","67.01"
"2010","S01001792","4-6","Ratio","67.01"
"2008","S01001792","4-6","Ratio","67.01"
"2011","S01001792","4-6","Ratio","67.01"
"2006","S01001792","4-6","Ratio","67.01"
"2012","S01001792","4-6","Ratio","67.7"
"2009","S01001792","4-6","Ratio","67.01"
"2013","S01001792","4-6","Ratio","67.7"
"2008","S01001792","7-9","Ratio","7.22"
"2007","S01001792","7-9","Ratio","7.22"
"2009","S01001792","7-9","Ratio","7.22"
"2013","S01001792","7-9","Ratio","7.22"
"2010","S01001792","7-9","Ratio","7.22"
"2011","S01001792","7-9","Ratio","7.22"
"2006","S01001792","7-9","Ratio","7.22"
"2012","S01001792","7-9","Ratio","7.22"
"2006","S01001792","Unknown","Ratio",0
"2010","S01001792","Unknown","Ratio",0
"2012","S01001792","Unknown","Ratio",0
"2007","S01001792","Unknown","Ratio",0
"2008","S01001792","Unknown","Ratio",0
"2011","S01001792","Unknown","Ratio",0
"2009","S01001792","Unknown","Ratio",0
"2013","S01001792","Unknown","Ratio",0
"2007","S01001793","Median","Count",4
"2008","S01001793","5.0","Count",64
"2013","S01001793","5.0","Count",73
"2006","S01001793","5.0","Count",55
"2011","S01001793","5.0","Count",73
"2009","S01001793","5.0","Count",75
"2012","S01001793","5.0","Count",73
"2010","S01001793","5.0","Count",75
"2007","S01001793","5.0","Count",54
"2010","S01001793","6.0","Count",22
"2013","S01001793","6.0","Count",22
"2006","S01001793","6.0","Count",20
"2009","S01001793","6.0","Count",22
"2008","S01001793","6.0","Count",21
"2011","S01001793","6.0","Count",23
"2007","S01001793","6.0","Count",21
"2012","S01001793","6.0","Count",22
"2009","S01001793","7.0","Count",51
"2007","S01001793","7.0","Count",50
"2010","S01001793","7.0","Count",51
"2011","S01001793","7.0","Count",51
"2006","S01001793","7.0","Count",50
"2013","S01001793","7.0","Count",51
"2012","S01001793","7.0","Count",51
"2008","S01001793","7.0","Count",51
"2013","S01001793","8.0","Count",30
"2011","S01001793","8.0","Count",30
"2008","S01001793","8.0","Count",30
"2012","S01001793","8.0","Count",30
"2006","S01001793","8.0","Count",30
"2009","S01001793","8.0","Count",30
"2007","S01001793","8.0","Count",30
"2010","S01001793","8.0","Count",30
"2011","S01001793","9.0","Count",15
"2006","S01001793","9.0","Count",15
"2010","S01001793","9.0","Count",15
"2009","S01001793","9.0","Count",15
"2007","S01001793","9.0","Count",15
"2008","S01001793","9.0","Count",15
"2013","S01001793","9.0","Count",15
"2012","S01001793","9.0","Count",15
"2006","S01001793","Unknown","Count",0
"2007","S01001793","Unknown","Count",0
"2008","S01001793","Unknown","Count",0
"2009","S01001793","Unknown","Count",0
"2010","S01001793","Unknown","Count",0
"2011","S01001793","Unknown","Count",0
"2012","S01001793","Unknown","Count",0
"2013","S01001793","Unknown","Count",0
"2008","S01001793","1.0","Count",2
"2006","S01001793","1.0","Count",2
"2007","S01001793","1.0","Count",2
"2012","S01001793","1.0","Count",2
"2013","S01001793","1.0","Count",2
"2010","S01001793","1.0","Count",2
"2009","S01001793","1.0","Count",2
"2011","S01001793","1.0","Count",2
"2012","S01001793","2.0","Count",40
"2006","S01001793","2.0","Count",40
"2009","S01001793","2.0","Count",40
"2011","S01001793","2.0","Count",40
"2008","S01001793","2.0","Count",40
"2013","S01001793","2.0","Count",40
"2007","S01001793","2.0","Count",40
"2010","S01001793","2.0","Count",40
"2012","S01001793","3.0","Count",107
"2013","S01001793","3.0","Count",107
"2010","S01001793","3.0","Count",107
"2007","S01001793","3.0","Count",104
"2008","S01001793","3.0","Count",107
"2011","S01001793","3.0","Count",107
"2006","S01001793","3.0","Count",104
"2009","S01001793","3.0","Count",107
"2011","S01001793","4.0","Count",47
"2006","S01001793","4.0","Count",49
"2013","S01001793","4.0","Count",47
"2012","S01001793","4.0","Count",47
"2010","S01001793","4.0","Count",48
"2009","S01001793","4.0","Count",48
"2007","S01001793","4.0","Count",48
"2008","S01001793","4.0","Count",48
"2011","S01001793","10+","Ratio","2.27"
"2012","S01001793","10+","Ratio","2.52"
"2008","S01001793","10+","Ratio","2.07"
"2009","S01001793","10+","Ratio","2.01"
"2007","S01001793","10+","Ratio","2.15"
"2010","S01001793","10+","Ratio","2.01"
"2013","S01001793","10+","Ratio","2.52"
"2006","S01001793","10+","Ratio","2.14"
"2009","S01001793","1-3","Ratio","37.44"
"2013","S01001793","1-3","Ratio","37.53"
"2012","S01001793","1-3","Ratio","37.53"
"2007","S01001793","1-3","Ratio","39.25"
"2006","S01001793","1-3","Ratio","39.14"
"2011","S01001793","1-3","Ratio","37.53"
"2010","S01001793","1-3","Ratio","37.44"
"2008","S01001793","1-3","Ratio","38.6"
"2007","S01001793","4-6","Ratio","33.06"
"2010","S01001793","4-6","Ratio","36.43"
"2008","S01001793","4-6","Ratio","34.46"
"2011","S01001793","4-6","Ratio","36.02"
"2006","S01001793","4-6","Ratio","33.24"
"2012","S01001793","4-6","Ratio","35.77"
"2009","S01001793","4-6","Ratio","36.43"
"2013","S01001793","4-6","Ratio","35.77"
"2008","S01001793","7-9","Ratio","24.87"
"2007","S01001793","7-9","Ratio","25.54"
"2009","S01001793","7-9","Ratio","24.12"
"2013","S01001793","7-9","Ratio","24.18"
"2010","S01001793","7-9","Ratio","24.12"
"2011","S01001793","7-9","Ratio","24.18"
"2006","S01001793","7-9","Ratio","25.47"
"2012","S01001793","7-9","Ratio","24.18"
"2006","S01001793","Unknown","Ratio",0
"2010","S01001793","Unknown","Ratio",0
"2012","S01001793","Unknown","Ratio",0
"2007","S01001793","Unknown","Ratio",0
"2008","S01001793","Unknown","Ratio",0
"2011","S01001793","Unknown","Ratio",0
"2009","S01001793","Unknown","Ratio",0
"2013","S01001793","Unknown","Ratio",0
"2007","S01001794","Median","Count",5
"2008","S01001794","5.0","Count",76
"2013","S01001794","5.0","Count",76
"2006","S01001794","5.0","Count",75
"2011","S01001794","5.0","Count",77
"2009","S01001794","5.0","Count",76
"2012","S01001794","5.0","Count",76
"2010","S01001794","5.0","Count",76
"2007","S01001794","5.0","Count",75
"2010","S01001794","6.0","Count",42
"2013","S01001794","6.0","Count",42
"2006","S01001794","6.0","Count",43
"2009","S01001794","6.0","Count",43
"2008","S01001794","6.0","Count",43
"2011","S01001794","6.0","Count",42
"2007","S01001794","6.0","Count",43
"2012","S01001794","6.0","Count",43
"2009","S01001794","7.0","Count",29
"2007","S01001794","7.0","Count",29
"2010","S01001794","7.0","Count",29
"2011","S01001794","7.0","Count",28
"2006","S01001794","7.0","Count",29
"2013","S01001794","7.0","Count",29
"2012","S01001794","7.0","Count",28
"2008","S01001794","7.0","Count",29
"2013","S01001794","8.0","Count",57
"2011","S01001794","8.0","Count",58
"2008","S01001794","8.0","Count",57
"2012","S01001794","8.0","Count",58
"2006","S01001794","8.0","Count",57
"2009","S01001794","8.0","Count",57
"2007","S01001794","8.0","Count",57
"2010","S01001794","8.0","Count",58
"2011","S01001794","9.0","Count",2
"2006","S01001794","9.0","Count",2
"2010","S01001794","9.0","Count",2
"2009","S01001794","9.0","Count",2
"2007","S01001794","9.0","Count",2
"2008","S01001794","9.0","Count",2
"2013","S01001794","9.0","Count",3
"2012","S01001794","9.0","Count",2
"2006","S01001794","Unknown","Count",0
"2007","S01001794","Unknown","Count",0
"2008","S01001794","Unknown","Count",0
"2009","S01001794","Unknown","Count",0
"2010","S01001794","Unknown","Count",0
"2011","S01001794","Unknown","Count",0
"2012","S01001794","Unknown","Count",0
"2013","S01001794","Unknown","Count",0
"2008","S01001794","1.0","Count",0
"2006","S01001794","1.0","Count",0
"2007","S01001794","1.0","Count",0
"2012","S01001794","1.0","Count",0
"2013","S01001794","1.0","Count",0
"2010","S01001794","1.0","Count",0
"2009","S01001794","1.0","Count",0
"2011","S01001794","1.0","Count",0
"2012","S01001794","2.0","Count",34
"2006","S01001794","2.0","Count",33
"2009","S01001794","2.0","Count",33
"2011","S01001794","2.0","Count",33
"2008","S01001794","2.0","Count",33
"2013","S01001794","2.0","Count",33
"2007","S01001794","2.0","Count",33
"2010","S01001794","2.0","Count",33
"2012","S01001794","3.0","Count",28
"2013","S01001794","3.0","Count",28
"2010","S01001794","3.0","Count",28
"2007","S01001794","3.0","Count",28
"2008","S01001794","3.0","Count",28
"2011","S01001794","3.0","Count",28
"2006","S01001794","3.0","Count",28
"2009","S01001794","3.0","Count",28
"2011","S01001794","4.0","Count",109
"2006","S01001794","4.0","Count",110
"2013","S01001794","4.0","Count",109
"2012","S01001794","4.0","Count",109
"2010","S01001794","4.0","Count",109
"2009","S01001794","4.0","Count",109
"2007","S01001794","4.0","Count",110
"2008","S01001794","4.0","Count",109
"2011","S01001794","10+","Ratio","0.26"
"2012","S01001794","10+","Ratio","0.26"
"2008","S01001794","10+","Ratio","0.26"
"2009","S01001794","10+","Ratio","0.26"
"2007","S01001794","10+","Ratio","0.26"
"2010","S01001794","10+","Ratio","0.26"
"2013","S01001794","10+","Ratio","0.53"
"2006","S01001794","10+","Ratio","0.26"
"2009","S01001794","1-3","Ratio","16.14"
"2013","S01001794","1-3","Ratio","16.09"
"2012","S01001794","1-3","Ratio","16.36"
"2007","S01001794","1-3","Ratio","16.14"
"2006","S01001794","1-3","Ratio","16.14"
"2011","S01001794","1-3","Ratio","16.14"
"2010","S01001794","1-3","Ratio","16.14"
"2008","S01001794","1-3","Ratio","16.14"
"2007","S01001794","4-6","Ratio","60.32"
"2010","S01001794","4-6","Ratio","60.05"
"2008","S01001794","4-6","Ratio","60.32"
"2011","S01001794","4-6","Ratio","60.32"
"2006","S01001794","4-6","Ratio","60.32"
"2012","S01001794","4-6","Ratio","60.16"
"2009","S01001794","4-6","Ratio","60.32"
"2013","S01001794","4-6","Ratio","59.89"
"2008","S01001794","7-9","Ratio","23.28"
"2007","S01001794","7-9","Ratio","23.28"
"2009","S01001794","7-9","Ratio","23.28"
"2013","S01001794","7-9","Ratio","23.48"
"2010","S01001794","7-9","Ratio","23.55"
"2011","S01001794","7-9","Ratio","23.28"
"2006","S01001794","7-9","Ratio","23.28"
"2012","S01001794","7-9","Ratio","23.22"
"2006","S01001794","Unknown","Ratio",0
"2010","S01001794","Unknown","Ratio",0
"2012","S01001794","Unknown","Ratio",0
"2007","S01001794","Unknown","Ratio",0
"2008","S01001794","Unknown","Ratio",0
"2011","S01001794","Unknown","Ratio",0
"2009","S01001794","Unknown","Ratio",0
"2013","S01001794","Unknown","Ratio",0
"2007","S01001795","Median","Count",4
"2008","S01001795","5.0","Count",60
"2013","S01001795","5.0","Count",60
"2006","S01001795","5.0","Count",61
"2011","S01001795","5.0","Count",60
"2009","S01001795","5.0","Count",60
"2012","S01001795","5.0","Count",60
"2010","S01001795","5.0","Count",60
"2007","S01001795","5.0","Count",60
"2010","S01001795","6.0","Count",33
"2013","S01001795","6.0","Count",36
"2006","S01001795","6.0","Count",34
"2009","S01001795","6.0","Count",33
"2008","S01001795","6.0","Count",33
"2011","S01001795","6.0","Count",33
"2007","S01001795","6.0","Count",32
"2012","S01001795","6.0","Count",34
"2009","S01001795","7.0","Count",17
"2007","S01001795","7.0","Count",18
"2010","S01001795","7.0","Count",17
"2011","S01001795","7.0","Count",17
"2006","S01001795","7.0","Count",18
"2013","S01001795","7.0","Count",19
"2012","S01001795","7.0","Count",17
"2008","S01001795","7.0","Count",18
"2013","S01001795","8.0","Count",7
"2011","S01001795","8.0","Count",8
"2008","S01001795","8.0","Count",7
"2012","S01001795","8.0","Count",7
"2006","S01001795","8.0","Count",7
"2009","S01001795","8.0","Count",7
"2007","S01001795","8.0","Count",7
"2010","S01001795","8.0","Count",7
"2011","S01001795","9.0","Count",4
"2006","S01001795","9.0","Count",5
"2010","S01001795","9.0","Count",4
"2009","S01001795","9.0","Count",4
"2007","S01001795","9.0","Count",4
"2008","S01001795","9.0","Count",4
"2013","S01001795","9.0","Count",4
"2012","S01001795","9.0","Count",4
"2006","S01001795","Unknown","Count",0
"2007","S01001795","Unknown","Count",0
"2008","S01001795","Unknown","Count",0
"2009","S01001795","Unknown","Count",0
"2010","S01001795","Unknown","Count",0
"2011","S01001795","Unknown","Count",0
"2012","S01001795","Unknown","Count",0
"2013","S01001795","Unknown","Count",0
"2008","S01001795","1.0","Count",1
"2006","S01001795","1.0","Count",0
"2007","S01001795","1.0","Count",1
"2012","S01001795","1.0","Count",0
"2013","S01001795","1.0","Count",0
"2010","S01001795","1.0","Count",0
"2009","S01001795","1.0","Count",1
"2011","S01001795","1.0","Count",0
"2012","S01001795","2.0","Count",32
"2006","S01001795","2.0","Count",31
"2009","S01001795","2.0","Count",32
"2011","S01001795","2.0","Count",32
"2008","S01001795","2.0","Count",32
"2013","S01001795","2.0","Count",32
"2007","S01001795","2.0","Count",31
"2010","S01001795","2.0","Count",32
"2012","S01001795","3.0","Count",51
"2013","S01001795","3.0","Count",52
"2010","S01001795","3.0","Count",52
"2007","S01001795","3.0","Count",53
"2008","S01001795","3.0","Count",53
"2011","S01001795","3.0","Count",51
"2006","S01001795","3.0","Count",54
"2009","S01001795","3.0","Count",53
"2011","S01001795","4.0","Count",35
"2006","S01001795","4.0","Count",35
"2013","S01001795","4.0","Count",35
"2012","S01001795","4.0","Count",35
"2010","S01001795","4.0","Count",35
"2009","S01001795","4.0","Count",35
"2007","S01001795","4.0","Count",34
"2008","S01001795","4.0","Count",35
"2011","S01001795","10+","Ratio","2.44"
"2012","S01001795","10+","Ratio","2.44"
"2008","S01001795","10+","Ratio","2.41"
"2009","S01001795","10+","Ratio","2.42"
"2007","S01001795","10+","Ratio","2.44"
"2010","S01001795","10+","Ratio","2.44"
"2013","S01001795","10+","Ratio","2.39"
"2006","S01001795","10+","Ratio","2.39"
"2009","S01001795","1-3","Ratio","34.68"
"2013","S01001795","1-3","Ratio","33.47"
"2012","S01001795","1-3","Ratio","33.74"
"2007","S01001795","1-3","Ratio","34.55"
"2006","S01001795","1-3","Ratio","33.86"
"2011","S01001795","1-3","Ratio","33.74"
"2010","S01001795","1-3","Ratio","34.15"
"2008","S01001795","1-3","Ratio","34.54"
"2007","S01001795","4-6","Ratio","51.22"
"2010","S01001795","4-6","Ratio","52.03"
"2008","S01001795","4-6","Ratio","51.41"
"2011","S01001795","4-6","Ratio","52.03"
"2006","S01001795","4-6","Ratio","51.79"
"2012","S01001795","4-6","Ratio","52.44"
"2009","S01001795","4-6","Ratio","51.61"
"2013","S01001795","4-6","Ratio","52.19"
"2008","S01001795","7-9","Ratio","11.65"
"2007","S01001795","7-9","Ratio","11.79"
"2009","S01001795","7-9","Ratio","11.29"
"2013","S01001795","7-9","Ratio","11.95"
"2010","S01001795","7-9","Ratio","11.38"
"2011","S01001795","7-9","Ratio","11.79"
"2006","S01001795","7-9","Ratio","11.95"
